weekly_lms_logins,video_watch_pct,avg_quiz_score,assignment_completion_rate,avg_submission_delay_days,forum_posts_per_month,session_attendance_pct,gpa_trend,current_gpa,part_time_job,semester,dropout_risk
9.3,32.7,72.5,85.5,3.5,3,61.8,-0.22,2.78,0,4,1
4.0,36.1,52.1,41.6,7.2,3,16.5,-0.44,3.29,1,6,1
11.0,83.6,88.3,77.1,1.4,2,48.3,0.72,4.0,0,1,0
9.2,59.9,66.5,81.3,1.9,7,59.4,-0.2,2.36,0,2,0
5.8,27.9,57.2,53.9,5.7,4,49.3,-0.88,2.36,1,1,1
9.9,81.8,86.5,64.0,4.1,3,74.5,0.19,2.79,0,6,0
12.2,51.6,58.9,84.9,2.9,3,60.2,0.29,2.97,0,2,0
5.3,58.8,62.3,63.9,0.0,3,94.9,-0.27,2.35,1,2,0
3.4,14.0,55.4,23.6,0.2,1,71.3,-1.09,2.03,0,2,0
10.8,59.3,64.4,100.0,0.8,4,97.3,0.85,3.83,1,7,0
7.1,31.5,30.1,29.3,4.1,3,51.3,-0.72,1.79,1,4,0
5.5,61.6,42.4,80.6,0.0,2,55.0,-0.42,2.65,1,3,0
11.1,48.3,67.3,66.6,2.2,5,70.9,-0.41,2.4,0,1,0
10.5,53.6,77.4,69.0,3.2,6,36.6,0.81,3.86,0,5,0
9.4,79.4,74.0,87.3,1.3,7,57.4,0.13,3.44,1,8,0
6.3,46.8,74.1,38.4,4.3,4,39.9,0.47,2.9,0,5,0
8.4,56.9,88.5,50.4,2.8,5,76.0,-0.11,3.45,0,1,0
7.6,47.5,68.2,61.1,0.0,5,55.5,0.47,2.78,0,2,0
4.3,71.3,57.3,68.1,4.1,4,62.4,-1.14,2.93,0,4,0
6.1,32.3,59.4,81.0,1.6,2,15.0,-1.53,3.53,1,6,0
12.1,78.1,89.8,61.3,1.1,5,83.3,0.28,2.91,1,4,0
5.6,24.0,55.3,49.7,2.9,1,37.1,-2.15,1.03,0,2,1
5.3,53.0,55.3,39.5,6.4,4,32.7,-0.35,1.91,0,8,0
10.7,84.4,75.1,82.2,0.0,7,93.4,0.7,2.83,0,1,0
8.5,76.0,62.3,84.3,5.0,5,45.9,1.11,3.58,0,7,0
7.2,70.8,64.1,77.0,6.0,4,75.4,0.72,3.43,0,5,0
8.4,81.1,79.6,77.7,0.0,7,75.4,0.62,3.67,0,4,0
6.3,59.1,38.1,71.5,2.1,6,34.8,-0.43,2.71,1,7,0
6.5,78.9,75.0,92.9,2.9,3,36.4,0.03,3.32,1,7,0
4.1,61.4,65.8,54.1,0.1,7,46.6,0.12,3.26,0,2,0
8.2,46.1,56.3,42.8,2.9,3,45.8,-1.11,3.35,1,4,0
6.8,24.8,74.6,58.1,3.3,0,50.7,0.15,2.93,0,2,1
5.4,66.2,66.8,60.6,2.3,5,43.1,-0.71,3.06,1,4,0
11.5,67.8,88.1,79.1,1.5,6,66.0,0.69,3.99,1,5,0
8.7,79.4,76.4,91.0,2.8,7,61.2,2.7,3.57,0,4,0
10.1,64.1,84.9,100.0,0.7,10,86.7,0.75,3.6,0,1,0
8.0,46.1,37.1,39.8,1.9,1,36.9,-0.46,2.22,0,7,0
6.7,69.3,59.7,90.5,4.7,4,74.9,0.19,3.71,0,3,0
10.3,78.5,90.2,64.3,3.7,5,70.0,1.65,3.15,1,2,0
4.0,10.7,43.5,48.0,4.1,3,12.5,-0.18,2.3,0,7,1
6.9,56.7,66.7,53.5,0.0,5,22.1,0.26,3.08,0,3,0
7.3,44.5,36.0,48.1,2.1,2,34.1,0.78,1.88,0,5,0
1.8,65.6,75.8,80.1,0.0,5,66.2,-0.28,2.78,1,8,0
5.2,49.9,54.7,56.0,1.8,3,49.2,-0.27,3.35,0,5,0
7.3,46.8,34.5,53.7,5.0,6,45.6,0.49,3.18,0,7,0
12.6,40.8,89.6,50.9,0.8,4,37.7,-0.16,2.93,0,8,0
4.2,69.6,74.8,87.8,0.8,3,23.6,0.46,3.3,0,7,1
5.8,47.5,49.4,75.3,3.9,7,77.2,0.2,4.0,0,3,0
5.7,57.9,76.0,61.2,4.7,4,58.9,0.81,3.21,1,5,1
4.9,12.8,59.8,61.1,3.4,2,26.2,-0.33,2.92,0,8,1
7.9,73.9,63.4,60.9,3.5,4,33.4,0.08,3.43,0,5,0
5.3,76.7,74.5,60.9,0.2,6,52.2,-0.15,3.09,0,6,0
9.1,62.8,69.0,64.1,1.2,5,70.5,0.22,3.34,1,2,1
12.7,78.3,78.9,61.7,0.0,7,74.6,0.43,3.5,0,2,0
9.1,42.9,83.0,56.0,2.8,8,64.1,0.89,2.79,1,2,0
6.0,44.2,40.7,43.2,3.2,5,73.4,-0.14,1.35,1,1,1
7.4,38.3,53.3,97.9,1.5,8,46.3,0.29,2.46,1,6,0
6.9,62.7,57.7,38.1,3.1,2,73.5,-0.05,1.62,0,1,1
5.6,72.8,75.8,51.4,1.5,3,72.7,0.93,2.84,0,8,0
7.0,68.5,70.4,70.2,0.9,4,63.0,0.01,2.14,1,8,0
8.8,62.3,72.5,75.9,2.5,3,88.8,0.63,3.74,0,1,0
4.8,59.6,46.7,66.3,2.6,5,40.1,-0.21,2.14,1,8,0
9.1,41.0,76.5,56.8,2.3,1,54.2,-0.17,3.24,0,6,0
4.6,34.4,43.2,43.9,0.2,2,29.9,0.4,3.13,0,1,1
9.9,78.9,77.5,100.0,0.8,3,99.0,1.51,3.93,1,3,0
7.7,68.0,83.9,63.4,0.7,6,88.6,1.65,2.66,1,8,0
4.2,39.4,47.7,43.5,2.8,0,52.9,-1.36,2.79,0,6,1
7.2,32.7,47.0,58.7,4.8,2,47.1,-0.31,2.72,0,6,1
3.5,20.6,57.3,58.0,0.0,1,60.5,0.03,2.83,0,7,0
4.8,7.6,54.5,30.8,3.7,1,16.9,-0.1,3.06,0,2,0
9.3,84.1,69.6,61.1,2.2,4,92.5,-0.27,3.78,0,5,0
3.0,32.9,79.8,99.9,5.9,7,65.2,0.55,2.72,0,4,0
8.8,53.5,76.2,68.6,0.0,3,70.3,0.36,3.58,1,1,0
7.6,83.1,63.9,92.0,2.5,6,77.1,1.2,2.33,0,5,0
8.1,56.0,44.5,73.7,3.4,7,100.0,-1.11,3.03,1,8,0
11.3,91.5,87.0,79.2,1.2,6,96.2,0.26,3.31,0,2,0
4.9,58.7,65.9,65.9,0.5,4,71.4,0.77,2.84,0,3,0
8.0,33.4,60.9,62.4,3.0,0,30.3,-0.92,1.66,0,7,1
8.4,41.2,67.2,74.1,0.0,6,70.7,-0.4,2.49,0,6,0
7.0,38.3,57.0,54.4,2.6,2,58.7,1.02,2.76,1,5,0
5.5,11.6,33.3,14.1,1.4,2,61.3,-1.66,2.19,1,4,1
5.7,53.0,19.2,47.5,4.3,4,46.3,0.3,2.45,0,8,0
14.4,72.2,63.3,81.3,1.0,6,88.1,-0.69,3.81,1,5,0
10.5,70.1,100.0,73.6,0.0,5,60.4,0.1,3.84,0,6,0
7.0,47.9,73.1,67.2,3.5,4,77.2,-0.08,2.95,0,2,0
3.3,42.0,40.3,50.8,4.1,4,29.9,-0.96,2.37,0,5,1
11.7,73.7,70.1,90.0,3.4,6,89.2,0.77,2.66,1,6,0
6.3,33.3,48.2,17.9,2.9,2,32.4,0.73,2.63,0,3,1
2.2,51.8,57.4,15.4,4.3,0,42.8,-1.05,3.09,0,7,1
6.3,75.8,97.5,65.4,0.0,8,50.0,1.34,3.28,1,8,0
4.3,60.4,67.0,94.5,5.4,4,80.2,0.34,3.57,0,2,0
8.7,51.8,69.3,55.5,0.6,6,77.0,0.73,3.64,0,1,1
5.9,58.8,81.5,75.7,3.2,4,61.8,-0.85,3.6,1,7,0
11.5,69.4,68.9,100.0,3.7,1,75.7,0.67,3.23,0,8,0
4.7,53.7,70.4,74.3,3.2,3,79.9,0.49,2.55,0,2,0
6.1,53.5,60.4,72.2,2.5,2,37.7,-0.33,2.71,0,5,0
2.8,12.8,57.5,40.2,2.9,0,26.2,0.67,2.37,1,6,0
3.2,19.9,17.2,55.0,4.4,0,13.0,-1.23,2.37,0,4,1
8.4,62.8,64.2,91.3,0.0,6,44.5,-0.64,2.44,0,2,0
8.6,72.7,50.8,73.0,2.5,3,41.1,0.58,2.71,0,2,1
1.3,28.0,60.4,48.9,6.6,6,61.9,-1.31,2.76,0,8,1
1.6,8.1,33.7,48.0,3.9,1,44.7,-0.8,1.92,1,2,1
9.1,59.1,41.7,35.7,2.9,6,24.6,0.71,2.38,0,2,0
10.5,66.8,51.0,90.6,0.0,8,60.1,0.74,2.83,0,5,0
2.2,39.5,76.0,59.4,2.5,5,46.3,0.21,3.03,0,7,0
5.6,13.5,38.4,43.1,2.2,4,57.8,-0.77,1.29,1,1,1
3.3,37.5,54.7,75.0,5.0,2,42.1,0.49,2.33,0,4,0
3.3,37.9,69.1,64.3,6.1,4,15.0,-1.27,2.97,0,7,0
3.0,51.9,48.2,16.0,7.0,2,38.3,-0.36,2.45,1,2,1
14.8,66.4,78.1,73.9,0.0,9,94.1,2.26,3.82,1,6,0
3.0,53.1,40.5,62.8,4.8,1,31.0,-0.02,1.73,1,4,0
6.1,44.1,82.3,53.6,2.9,4,69.9,0.49,3.17,0,5,0
6.8,50.8,53.4,74.9,2.5,6,32.3,-0.43,2.59,0,1,0
8.3,87.4,77.2,73.4,4.5,4,89.0,0.05,3.39,0,7,0
11.9,70.2,44.1,95.8,2.7,5,61.8,0.06,3.79,1,2,0
6.6,48.3,78.7,54.4,5.3,1,47.6,0.18,3.46,0,1,0
11.5,83.5,49.8,61.9,0.0,3,65.9,0.75,2.86,0,2,0
8.6,71.0,65.2,88.0,0.6,5,63.8,1.34,2.9,0,2,0
10.4,71.7,90.5,71.4,2.0,1,83.2,-0.68,3.98,1,6,0
8.1,19.3,19.6,24.9,6.4,1,60.4,-2.16,2.19,1,3,1
4.1,43.4,48.1,55.1,4.8,4,63.7,0.39,1.92,0,8,1
14.2,76.8,84.4,68.4,0.0,6,80.4,1.13,3.62,0,6,0
1.4,31.5,40.0,58.0,8.1,2,36.9,-0.9,2.85,0,8,1
5.4,40.5,54.8,51.2,3.1,4,70.2,-0.22,2.06,0,4,0
4.3,77.6,67.6,55.0,0.5,3,90.8,0.1,2.85,1,7,0
6.8,54.1,52.5,86.9,0.7,4,48.9,1.45,2.67,1,1,0
6.9,70.7,77.8,96.6,0.0,4,84.9,0.91,3.84,1,4,0
11.6,78.1,71.0,72.9,0.0,3,75.4,0.11,3.33,1,4,0
14.3,72.1,78.0,100.0,1.2,5,93.3,0.49,3.89,0,4,0
4.0,40.2,76.1,82.8,0.6,3,66.4,-0.58,3.31,1,1,0
0.6,17.8,54.1,38.5,5.4,1,9.9,-1.53,1.34,1,2,1
6.5,71.8,99.6,96.4,3.5,3,63.0,1.67,3.02,0,2,0
6.6,57.6,60.8,75.2,4.0,3,66.9,-0.18,2.49,1,7,0
3.1,66.0,70.9,30.1,3.9,1,44.8,-1.27,2.51,1,2,1
8.7,51.6,69.3,87.0,0.0,7,37.6,0.99,3.71,1,2,0
9.2,22.9,47.9,40.1,5.3,6,15.4,0.41,2.32,0,2,0
4.6,41.0,46.2,39.2,7.4,1,58.4,0.23,2.25,0,7,0
9.0,59.7,59.6,68.0,5.3,6,76.3,-0.32,3.48,1,7,0
9.0,64.5,73.0,77.3,0.0,4,45.0,-0.23,3.5,0,6,0
3.6,46.8,65.0,38.4,2.6,3,77.4,0.86,3.06,1,2,0
5.2,56.1,83.1,85.9,0.9,2,72.1,-0.3,2.33,1,8,0
5.5,26.9,68.5,41.1,3.2,1,21.5,-0.43,3.02,1,5,0
13.5,83.2,56.7,98.3,1.8,4,62.2,0.2,3.4,0,7,0
10.9,78.4,65.4,100.0,5.7,3,56.0,1.54,3.39,0,5,0
9.2,69.7,36.8,53.9,2.7,7,50.7,-0.48,2.61,1,6,1
5.8,44.3,58.2,89.0,1.4,6,30.7,-0.22,2.77,0,6,0
6.9,58.0,42.5,53.2,4.5,3,38.8,-0.27,1.97,1,2,1
14.1,78.7,79.3,89.0,0.0,7,97.9,1.58,2.73,1,6,0
3.6,50.6,39.8,44.1,2.1,2,22.6,0.42,2.2,0,7,0
7.9,49.6,60.8,42.0,4.9,3,54.5,0.16,2.01,0,6,0
5.8,69.6,75.7,65.3,1.7,4,64.1,0.99,3.45,1,1,0
6.9,48.3,41.5,22.8,7.8,3,57.3,0.18,1.99,0,4,0
5.9,66.0,65.9,64.7,3.2,8,17.7,-0.75,3.32,0,4,0
1.5,78.1,42.1,15.6,1.4,0,54.3,-1.12,1.62,1,1,1
9.6,76.0,85.4,60.1,0.0,11,35.4,-0.38,3.79,0,5,0
5.6,85.7,77.3,92.1,3.4,8,73.5,-0.88,3.87,1,4,0
5.3,54.0,44.0,68.0,1.8,7,27.8,-0.12,1.9,0,7,0
0.4,36.5,44.8,20.7,2.2,1,26.4,-0.05,2.17,1,5,1
0.0,21.7,12.7,41.2,3.8,1,0.0,-0.79,1.63,0,3,1
5.4,47.4,67.2,46.2,5.5,2,75.7,-0.2,2.87,0,4,1
6.5,67.3,71.5,54.3,2.0,6,33.9,0.03,3.79,1,3,0
14.4,100.0,73.8,89.4,0.0,5,60.4,0.94,4.0,0,8,0
4.5,37.1,52.7,57.1,4.9,6,94.3,1.18,2.68,0,6,0
11.0,30.5,53.4,64.8,4.6,3,66.9,1.06,3.06,1,3,0
6.5,91.7,58.5,78.9,5.0,6,50.2,0.21,4.0,1,3,0
10.2,49.3,47.1,85.7,5.1,4,61.0,0.88,3.32,1,3,0
8.6,21.8,38.6,75.4,5.4,3,45.5,0.45,3.19,0,2,0
6.1,16.5,21.1,42.1,2.0,1,15.7,-0.03,2.91,0,2,0
7.3,98.2,70.8,73.5,3.0,7,58.9,0.79,3.35,0,6,0
5.2,82.0,71.8,87.4,4.3,7,69.9,0.69,3.22,0,1,0
0.0,19.9,59.7,38.3,8.0,4,58.8,-1.68,1.7,0,4,1
12.2,47.5,77.4,76.8,2.8,7,57.7,-0.81,2.62,0,1,0
4.9,46.0,46.0,66.9,2.4,2,46.3,0.13,2.2,1,3,0
7.2,88.8,76.0,97.2,0.0,10,62.3,0.06,3.26,1,8,1
1.5,32.3,61.4,46.9,5.9,1,60.3,-1.46,2.48,0,1,1
9.7,59.0,69.5,59.7,0.4,6,88.4,-0.7,3.25,1,2,0
9.8,98.7,85.5,84.8,1.2,2,96.5,0.63,3.69,0,5,0
1.0,46.0,48.4,46.9,1.5,2,51.5,-0.07,3.01,1,6,0
8.8,49.4,60.8,71.6,2.6,2,26.2,0.18,2.62,1,5,0
8.5,68.2,66.9,89.4,3.3,8,81.1,0.66,3.38,0,6,0
12.0,25.7,60.5,88.4,3.1,8,61.1,-0.14,3.54,0,5,0
6.4,37.9,56.3,53.3,5.8,2,29.5,-0.77,2.48,0,7,0
0.0,52.3,45.2,40.3,0.6,3,57.4,0.2,2.4,1,8,0
13.0,51.6,77.4,99.6,1.4,6,77.6,0.87,3.82,0,5,0
9.8,24.0,82.4,67.2,1.9,4,36.5,-0.42,3.09,1,5,1
8.5,70.1,84.7,72.0,0.0,8,73.6,0.99,3.81,0,4,0
7.8,71.1,63.4,87.8,0.4,5,35.6,-0.73,4.0,0,7,0
7.0,52.0,61.0,52.5,1.4,7,52.3,-0.25,3.07,1,3,0
2.9,69.3,82.9,22.8,4.2,4,71.0,-0.76,3.4,1,2,0
3.4,37.0,46.7,28.6,4.9,3,5.9,0.2,2.29,0,7,1
6.6,13.7,56.1,42.7,5.8,4,41.0,-1.28,2.16,0,8,1
8.0,49.2,60.9,59.0,3.5,4,67.6,-0.0,3.42,0,5,0
4.7,31.4,62.6,42.7,3.3,4,68.4,-0.4,2.3,1,4,0
9.1,48.8,58.8,70.5,3.1,4,40.8,-0.46,3.75,0,2,0
9.8,90.2,61.3,83.3,3.2,5,50.7,0.71,3.91,1,5,0
8.1,64.6,69.1,43.5,0.0,3,49.5,-0.16,3.01,0,6,0
7.8,58.9,59.4,100.0,1.7,2,92.6,1.62,3.88,0,6,0
7.2,65.6,60.1,45.9,3.3,3,28.3,-1.13,3.27,1,3,0
4.7,41.0,83.6,53.5,6.5,7,33.4,0.3,2.19,0,1,0
2.1,13.3,61.4,67.9,0.5,4,49.0,-0.06,2.48,1,6,1
4.9,27.0,44.0,46.9,1.1,5,31.2,-0.35,2.8,0,6,1
10.1,85.7,84.1,100.0,0.0,5,78.9,1.0,3.59,1,6,0
6.0,57.5,48.7,51.5,0.6,3,74.5,0.29,3.32,1,8,0
11.0,87.5,69.1,54.9,2.0,3,42.1,0.39,3.22,1,6,0
3.8,48.9,39.5,61.3,2.0,1,44.4,0.21,1.98,0,3,0
9.4,98.2,89.9,40.3,0.0,9,78.7,0.82,3.22,0,3,0
6.0,44.0,47.9,51.5,4.1,1,32.5,-1.32,2.75,0,5,0
3.0,53.9,38.6,67.8,4.9,1,15.0,-0.57,1.6,1,6,0
9.2,84.0,76.6,39.5,2.0,5,57.6,1.12,2.51,0,1,0
6.4,65.4,88.2,59.3,2.6,7,49.0,-0.14,2.79,0,1,1
5.1,61.8,45.6,29.1,4.2,0,60.2,-0.97,3.12,1,7,1
10.3,54.7,79.6,72.1,0.0,5,74.5,0.72,3.05,0,2,0
5.7,15.8,65.3,93.5,3.2,1,27.0,0.11,3.06,0,7,0
7.8,56.8,61.0,58.5,3.1,5,43.1,-0.74,2.7,1,4,0
1.1,53.3,67.5,52.4,3.2,4,41.7,-0.39,2.64,1,6,0
6.0,60.0,73.4,36.9,0.4,6,100.0,0.51,3.04,0,2,0
2.6,46.1,72.2,55.2,1.7,4,72.0,0.35,3.58,1,5,0
5.3,65.7,70.5,68.6,3.0,4,46.2,0.69,2.5,0,1,0
11.8,66.5,52.9,64.6,5.9,6,44.3,-0.22,2.8,1,3,0
6.6,60.5,66.2,65.5,0.0,2,48.6,0.34,3.41,0,8,0
3.4,27.3,48.4,62.5,4.7,3,52.5,-0.74,2.2,0,3,1
11.9,63.7,100.0,68.1,3.9,2,85.4,1.71,2.65,1,4,0
6.3,43.6,39.6,43.2,1.6,1,41.2,0.28,1.29,0,6,1
0.4,30.9,26.9,31.7,4.0,0,30.3,-1.38,2.59,0,5,1
14.6,80.2,83.2,57.0,2.7,4,63.7,-0.42,3.51,0,5,0
6.7,43.3,48.2,43.0,7.2,4,48.8,0.35,2.55,1,2,0
11.1,87.6,64.8,90.6,5.7,5,45.4,0.89,2.82,0,8,0
9.9,66.1,76.4,34.9,0.0,6,67.3,0.73,3.13,0,7,0
7.9,42.0,76.8,32.6,2.3,7,45.1,-0.47,3.43,0,6,0
7.2,81.3,81.0,100.0,2.4,5,39.2,0.34,2.58,0,1,0
14.7,57.4,69.2,68.6,2.8,5,100.0,0.38,3.87,1,8,0
8.7,72.9,77.3,100.0,2.1,3,78.7,0.76,2.49,1,7,1
8.9,53.9,56.1,58.1,1.1,4,54.3,-0.87,2.24,1,6,1
2.4,29.6,63.9,32.2,2.3,2,28.9,-0.87,2.35,0,1,1
0.7,36.9,31.4,41.8,1.8,0,40.0,-1.88,2.53,0,4,1
14.4,82.1,78.2,80.9,0.0,9,53.7,0.32,4.0,0,3,0
6.6,61.2,64.1,59.3,0.0,4,51.3,-0.08,3.38,1,6,0
4.8,41.4,37.1,48.3,6.0,3,26.8,-0.2,3.3,0,7,1
8.3,86.7,63.2,71.9,3.9,5,74.0,0.48,3.09,0,2,0
14.3,82.5,64.7,57.3,3.5,6,47.7,0.64,2.73,0,4,0
13.1,73.2,82.5,59.4,2.0,6,81.4,-0.74,3.61,1,1,1
9.0,57.6,58.0,39.7,3.2,1,47.6,0.46,3.36,0,6,0
15.6,56.1,65.9,53.8,1.6,5,80.9,-0.04,3.63,0,2,0
2.0,35.8,46.3,73.1,0.8,3,47.6,-0.98,2.73,0,8,1
7.6,57.2,56.0,42.1,4.5,1,69.8,-0.09,3.41,1,8,0
5.0,55.1,49.7,63.0,5.5,2,26.1,-0.74,2.67,0,5,1
4.3,80.2,82.9,68.1,0.0,3,84.8,0.62,3.19,0,8,0
6.3,50.7,64.0,58.5,1.3,3,11.9,-0.12,2.93,0,3,1
2.5,61.9,32.4,41.0,4.9,1,36.8,-1.25,2.54,0,7,1
11.6,58.0,79.3,40.3,3.1,5,52.4,0.06,3.47,0,1,1
6.8,75.4,75.6,67.7,3.9,4,37.0,0.08,2.97,1,1,0
3.0,48.5,46.2,53.1,6.9,1,22.9,-0.11,2.84,0,4,1
12.8,75.8,55.9,61.3,0.0,1,59.1,0.2,3.69,1,3,0
6.8,61.9,64.8,97.0,2.6,3,53.7,-0.32,3.0,1,8,0
8.7,53.4,51.6,66.8,1.3,2,40.1,-0.91,2.31,0,1,0
3.8,14.5,45.7,47.1,2.8,2,31.2,-1.57,2.75,1,7,0
9.4,70.5,77.7,85.2,1.3,5,51.3,-0.49,2.54,1,1,0
6.9,70.0,81.3,31.0,5.4,5,52.4,-0.29,2.52,0,1,0
8.9,64.2,53.2,77.1,4.7,4,56.3,1.1,3.1,0,4,0
8.4,39.6,97.8,100.0,1.8,6,72.1,0.83,1.96,0,1,0
1.2,4.5,52.3,49.1,0.2,3,48.0,-0.15,2.98,1,4,1
5.8,36.1,65.8,52.4,4.0,7,66.7,-0.8,2.74,1,5,0
13.0,72.9,100.0,64.0,2.2,4,80.0,-0.5,4.0,1,5,0
5.7,24.9,51.6,27.0,2.1,0,47.9,-0.45,3.32,0,5,0
8.9,64.7,74.9,42.5,4.4,5,63.1,1.11,2.82,1,7,0
3.8,50.2,46.7,35.4,2.3,2,30.7,-1.07,2.99,0,5,0
3.4,84.0,79.7,54.9,3.8,8,82.1,0.37,2.6,0,2,0
3.9,59.6,76.1,59.8,3.3,4,40.6,-0.96,3.1,1,7,0
7.7,81.2,83.0,74.8,0.0,3,29.8,0.36,2.92,1,2,0
5.1,53.1,49.5,42.8,1.6,6,44.9,0.15,3.42,0,5,1
8.7,73.9,74.2,70.7,1.7,4,100.0,-0.53,3.89,0,7,0
9.0,61.6,95.5,76.2,1.8,7,74.6,0.2,3.44,0,6,0
2.2,48.6,49.2,30.7,6.4,7,39.7,-1.51,2.54,1,5,1
11.2,88.8,65.3,66.8,4.8,7,56.6,-0.8,3.48,1,3,0
10.0,71.9,86.0,84.9,0.8,2,88.2,0.32,3.56,1,1,0
9.2,21.6,48.6,55.3,3.9,7,58.0,0.28,4.0,0,8,0
11.3,68.1,93.5,77.9,4.2,5,81.7,0.56,3.54,0,8,0
9.8,40.1,62.9,57.4,1.0,3,63.8,0.51,3.6,0,6,0
11.3,47.1,72.9,95.2,0.8,7,60.2,0.19,3.78,0,3,0
9.3,65.8,81.0,65.1,0.0,2,88.6,1.1,2.65,1,3,0
9.3,39.9,51.0,62.6,2.7,0,37.5,-0.33,3.18,0,7,0
5.5,62.3,57.2,35.6,3.3,4,53.1,0.83,3.37,0,3,0
11.1,48.9,78.1,91.0,0.0,10,65.8,0.42,3.6,1,3,1
9.7,59.0,93.4,89.4,2.9,4,64.7,0.68,3.39,0,6,0
9.1,61.9,48.4,48.5,1.4,7,53.6,-0.35,3.31,0,3,0
11.2,54.3,55.8,82.0,1.6,4,92.1,1.56,3.98,0,8,0
5.9,64.2,76.3,52.1,0.0,3,32.4,-0.43,2.84,1,8,0
10.0,62.0,54.7,88.2,2.0,4,81.6,0.53,3.92,0,3,0
9.3,53.9,42.9,43.8,5.7,8,31.4,1.13,2.5,0,5,0
6.0,34.7,68.9,42.3,2.4,2,60.4,-0.97,1.83,1,3,0
6.8,61.2,79.3,66.5,0.0,7,44.4,0.43,3.25,1,6,0
9.0,71.6,68.8,99.2,3.4,11,93.7,0.36,4.0,0,8,0
6.5,17.3,31.7,53.0,4.6,3,44.4,0.99,2.51,0,8,0
8.3,75.9,64.0,89.0,1.6,7,50.8,-0.43,2.3,1,2,0
8.0,39.1,56.2,56.8,3.7,6,84.5,-0.82,2.22,0,6,0
8.7,43.8,96.1,58.6,2.0,4,84.0,-0.21,3.46,1,1,0
